STATION,DATE,REPORT_TYPE,BackupName,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,Sunrise,Sunset
72528014733,2019-10-01T23:59:00,SOD  ,WFO BUF,66,72,82,29.93,29.21,68,12.5,7,15.4,0,81,63,260,35,0.34,0,0,240,25,TS RA BR,612,1757
72528014733,2019-10-02T23:59:00,SOD  ,WFO BUF,58,59,94,29.95,29.17,58,10,0,2.8,6,68,49,60,24,0.52,0,0,60,20,RA FG BR,613,1755
72528014733,2019-10-03T23:59:00,SOD  ,WFO BUF,49,52,93,29.99,29.23,50,9.3,0,-3.8,13,55,48,40,22,0.19,0,0,50,18,RA DZ BR,614,1753
72528014733,2019-10-04T23:59:00,SOD  ,WFO BUF,42,49,80,30.29,29.47,45,7.6,0,-6.4,16,54,43,340,23,0.02,0,0,350,18,RA,615,1751
72528014733,2019-10-05T23:59:00,SOD  ,WFO BUF,40,50,71,30.28,29.54,45,8.1,0,-5,15,60,39,70,23,0,0,0,70,20,,616,1750
72528014733,2019-10-06T23:59:00,SOD  ,WFO BUF,54,60,78,30.04,29.28,57,12,0,5.4,5,69,51,200,27,0.02,0,0,200,22,RA,618,1748
72528014733,2019-10-07T23:59:00,SOD  ,WFO BUF,51,54,83,30.13,29.34,53,8.7,0,-0.3,11,61,47,250,25,0.23,0,0,240,18,RA,619,1746
72528014733,2019-10-08T23:59:00,SOD  ,WFO BUF,45,55,75,30.29,29.51,49,6,0,1.1,10,65,45,60,17,0,0,0,60,14,,620,1744
72528014733,2019-10-09T23:59:00,SOD  ,WFO BUF,41,52,70,30.3,29.53,46,7.1,0,-1.5,13,65,38,100,18,0,0,0,60,14,,621,1743
72528014733,2019-10-10T23:59:00,SOD  ,WFO BUF,44,53,74,30.27,29.51,48,6.9,0,-0.1,12,65,41,70,20,0,0,0,60,16,,622,1741
72528014733,2019-10-11T23:59:00,SOD  ,WFO BUF,39,60,53,30.12,29.39,49,8.9,0,7.2,5,72,47,100,23,0,0,0,100,17,,623,1739
72528014733,2019-10-12T23:59:00,SOD  ,WFO BUF,42,51,70,29.96,29.19,47,12.9,0,-1.4,14,59,42,250,33,0.04,0,0,240,25,RA,625,1738
72528014733,2019-10-13T23:59:00,SOD  ,WFO BUF,32,52,50,29.94,29.19,43,12.1,0,-0.1,13,66,37,210,29,0,0,0,210,23,,626,1736
72528014733,2019-10-14T23:59:00,SOD  ,WFO BUF,35,48,64,29.99,29.2,42,6.9,0,-3.7,17,51,44,250,21,0.01,0,0,260,15,,627,1734
