instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
The Art Institute of Austin,Austin,TX,Bachelor Degree,Southwest,City: Midsize,NA,NA,638,29528,NA,17662,17662,12667,31990,0.463214286
Remington College-Houston Southeast Campus,Webster,TX,Certificate Degree,Southwest,Suburb: Large,NA,NA,338,25003,NA,17327,17327,9500,14119,0.77140975
Remington College-Shreveport Campus,Shreveport,LA,Certificate Degree,Southeast,City: Midsize,NA,NA,399,25588,NA,15390,15390,9500,14119,0.77140975
National American University-Austin,Austin,TX,Certificate Degree,Southwest,City: Large,NA,NA,222,NA,NA,15000,15000,14765,30223,0.758220503
National American University-Wichita,Wichita,KS,Associate Degree,Plains,City: Large,NA,NA,130,NA,NA,15000,15000,14765,30223,0.758220503
Fortis College-Landover,Landover,MD,Certificate Degree,Mid East,Suburb: Large,NA,NA,550,21689,NA,14335,14335,9500,11362,0.747160286
Jenny Lea Academy of Cosmetology,Johnson City,TN,Certificate Degree,Southeast,City: Small,NA,NA,101,NA,18413,NA,NA,7917,9833,0.918367347
The Hair Academy,Bismarck,ND,Certificate Degree,Plains,City: Small,NA,NA,55,NA,13960,NA,NA,9500,9952,NA
The Art Institute of Raleigh-Durham,Durham,NC,Bachelor Degree,Southeast,City: Large,NA,NA,370,29706,NA,17122,17122,10919,25000,0.762866865
Ross Medical Education Center-New Baltimore,New Baltimore,MI,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,75,NA,24379,NA,NA,9500,9500,0.951371571
Ross College-Sylvania,Sylvania,OH,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,439,NA,23620,NA,NA,9161,9500,0.94210319
Argosy University-Salt Lake City,Draper,UT,Bachelor Degree,Rocky Mountains,Suburb: Large,NA,NA,43,NA,NA,13438,13438,13437.5,30481,0.649788711
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,Certificate Degree,Outlying Areas,Suburb: Large,NA,NA,88,5481,NA,1040,1040,NA,NA,0.392947103
Virginia College-Montgomery,Montgomery,AL,Certificate Degree,Southeast,City: Midsize,NA,NA,429,NA,32594,NA,NA,11438,16710,0.780756537
Fortis Institute-Nashville,Nashville,TN,Certificate Degree,Southeast,City: Large,NA,NA,353,31219,NA,17450,17450,9500,11521,0.76930999
ATA College Tri-County,Springdale,OH,Associate Degree,Great Lakes,Suburb: Large,NA,NA,277,31765,NA,13295,13295,13194,23625,0.893366919
Elite Welding Academy LLC,Cincinnati,OH,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,79,NA,22649,NA,NA,9500,9500,NA
Galen College of Nursing-Cincinnati,Cincinnati,OH,Associate Degree,Great Lakes,Suburb: Large,NA,NA,478,NA,28702,NA,NA,14953,22531,0.871165644
Pinnacle Career Institute-North Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,46,NA,21357,NA,NA,10644,12546,0.628421053
Strayer University-North Carolina,Morrisville,NC,Bachelor Degree,Southeast,Suburb: Large,NA,NA,3980,27744,NA,13857,13857,9500,34239.5,0.750834485
Strayer University-New Jersey,Cherry Hill,NJ,Bachelor Degree,Mid East,Suburb: Large,NA,NA,770,NA,NA,13857,13857,9500,34239.5,0.750834485
American National University-Dayton,Kettering,OH,Associate Degree,Great Lakes,Suburb: Large,NA,NA,20,NA,NA,14886,14886,13000,24667,0.843609866
American National University-Youngstown,Youngstown,OH,Associate Degree,Great Lakes,Suburb: Large,NA,NA,33,26641,NA,14886,14886,13000,24667,0.843609866
Harris School of Business-Hamilton Campus,Hamilton,NJ,Certificate Degree,Mid East,Suburb: Large,NA,NA,42,NA,22067,NA,NA,8171,9500,0.812838683
The Ohio Media School-Columbus,Columbus,OH,Certificate Degree,Great Lakes,Suburb: Large,0.9167,NA,107,NA,27369,NA,NA,9500,9500,0.337821297
Ohio Medical Career College,Dayton,OH,Certificate Degree,Great Lakes,City: Midsize,NA,NA,87,NA,15685,NA,NA,11823,11981,0.921487603
Ohio Technical College-PowerSport Institute,North Randall,OH,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,111,NA,21119,NA,NA,12000,12000,0.051910598
The King's College,New York,NY,Bachelor Degree,Mid East,City: Large,0.409,27,533,54647,NA,35400,35400,12000,23096.5,0.65530303
Chamberlain University-Illinois,Addison,IL,Bachelor Degree,Great Lakes,Suburb: Large,0.62,NA,15689,30421,NA,19375,19375,18697.5,22893.5,0.896986301
Chamberlain University-Ohio,Columbus,OH,Bachelor Degree,Great Lakes,City: Large,0.7059,NA,548,28170,NA,19375,19375,18697.5,22893.5,0.896986301
Chamberlain University-Arizona,Phoenix,AZ,Bachelor Degree,Southwest,City: Large,0.75,NA,650,25746,NA,19375,19375,18697.5,22893.5,0.896986301
Career Quest Learning Centers-Jackson,Jackson,MI,Certificate Degree,Great Lakes,City: Small,NA,NA,119,NA,26412,NA,NA,9500,9500,0.838709677
Bryan University,Rogers,AR,Associate Degree,Southeast,City: Small,NA,NA,53,24532,NA,15433,15433,15671,23000,0.657894737
The Salon Professional Academy-Appleton,Appleton,WI,Certificate Degree,Great Lakes,Suburb: Midsize,NA,NA,52,NA,14085,NA,NA,12000,12000,NA
