instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
La James International College-Ft Dodge,Fort Dodge,IA,Certificate Degree,Plains,Town: Remote,NA,NA,40,NA,20296,NA,NA,9500,12375,NA
Loras College,Dubuque,IA,Bachelor Degree,Plains,City: Small,0.9509,23,1362,41934,NA,32886,32886,21937,27000,0.463525836
Luther College,Decorah,IA,Bachelor Degree,Plains,Town: Remote,0.6509,26,2008,52524,NA,41020,41020,26193,27000,0.524271845
Maharishi University of Management,Fairfield,IA,Bachelor Degree,Plains,Town: Remote,0.8889,NA,320,39730,NA,27530,27530,24087,39037,0.528735632
Marshalltown Community College,Marshalltown,IA,Associate Degree,Plains,Rural: Fringe,NA,NA,1019,13090,NA,4656,4992,5500,8875,0.588005215
Mercy College of Health Sciences,Des Moines,IA,Bachelor Degree,Plains,City: Midsize,0.959,20,755,26778,NA,17600,17600,14000,20000,0.863084922
Morningside College,Sioux City,IA,Bachelor Degree,Plains,City: Small,0.5518,23,1270,41996,NA,30490,30490,16000,27000,0.577669903
Mount Mercy University,Cedar Rapids,IA,Bachelor Degree,Plains,City: Midsize,0.5724,22,1502,43185,NA,30582,30582,16795,22000,0.717241379
North Iowa Area Community College,Mason City,IA,Associate Degree,Plains,Town: Remote,NA,NA,1682,12781,NA,5213,7429,5500,8146.5,0.54368932
University of Northern Iowa,Cedar Falls,IA,Bachelor Degree,Plains,City: Small,0.8083,24,9686,20593,NA,8699,19241,15849,20354,0.595083488
Northwestern College,Orange City,IA,Bachelor Degree,Plains,Town: Distant,0.681,24,1014,42676,NA,30200,30200,19500,24250,0.549682875
Northeast Iowa Community College,Calmar,IA,Associate Degree,Plains,Rural: Distant,NA,NA,2210,13018,NA,5180,5460,6768.5,11000,0.604848485
Northwest Iowa Community College,Sheldon,IA,Associate Degree,Plains,Rural: Fringe,NA,NA,765,15807,NA,5910,6210,6500,9500,0.5
Des Moines University-Osteopathic Medical Center,Des Moines,IA,Entirely Graduate Degree,Plains,City: Midsize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa School of Beauty-Ottumwa,Ottumwa,IA,Certificate Degree,Plains,Town: Remote,NA,NA,53,NA,16560,NA,NA,10320,12000,NA
